Gamma,Max Error (Default),Residual Error,Boundary Residual Error
0.001,2.594769281458176,16.86884355568551,1.5350440740585327
0.0011154865637172874,2.594172221731461,16.861957646648836,1.5356761813163757
0.0012443102738338022,2.59305534989766,16.859967421994163,1.5359747409820557
0.001388011391556985,2.5915494981520544,16.856684097599796,1.5359368920326233
0.0015483080575683515,2.5902244272940527,16.837993620173737,1.537819266319275
0.001727116834712707,2.586446267675675,16.81710425734823,1.5374338626861572
0.0019265756230919559,2.5810771408789526,16.78474622052423,1.537823736667633
0.002149069221544338,2.572578293394364,16.729933962948603,1.5379123091697693
0.0023972578411310796,2.558671874117173,16.627375433112945,1.5365105867385864
0.0026741089115476313,2.5317750397436987,16.445010077346083,1.532846450805664
0.002982932560748043,1.2066213637590408,15.610873882425514,1.2066213637590408
0.00332742119198924,1.23442991822958,15.841642293073786,1.23442991822958
0.0037116936314921583,1.2641333937644958,15.962847395248998,1.2641333937644958
0.004140344374564528,1.2970838695764542,15.977639810151592,1.2970838695764542
0.004618498518989187,1.3361380696296692,15.91125656881235,1.3361380696296692
0.00515187304248063,1.3687964528799057,15.508068106140016,1.3687964528799057
0.005746845156864445,1.429099217057228,15.585769906121815,1.429099217057228
0.006410528556246056,1.47544926404953,15.369498145938397,1.47544926404953
0.007150858470818457,1.5167924165725708,15.161272269278877,1.5167924165725708
0.007976686543241938,1.5496309995651245,14.987227601377935,1.5496309995651245
0.008897886661970878,1.572933554649353,14.860727194027282,1.572933554649353
0.00992547301690778,1.5864366292953491,14.791858924632903,1.5864366292953491
0.011071731788899107,1.6511582136154175,13.89932194060848,1.6511582136154175
0.012350368047598521,1.654411792755127,13.841178686314056,1.654411792755127
0.01377666961405946,1.6513981819152832,13.759411062050889,1.6513981819152832
0.015367689847255556,1.642604112625122,13.58297011492928,1.642604112625122
0.017142451539988147,1.559884786605835,14.116318457023102,1.559884786605835
0.01912217436203149,1.5893800258636475,12.521861585251278,1.5893800258636475
0.021330528569905322,1.4493873119354248,11.746500468645596,1.4493873119354248
0.023793918016717115,0.5089244842529297,0.6713594148050248,0.5091652870178223
0.026541795845838618,0.2778993844985963,0.6858809431384998,0.27790749073028576
0.029607016642960296,0.14558112621307384,0.6367187009555266,0.14565277099609386
0.033026229256976326,0.10012859106063855,0.595062966281958,0.10016691684722913
0.03684031498640387,0.07042986154556287,0.5689121464420488,0.07046365737915052
0.041094876370446135,0.053175431799209916,0.5654548018811627,0.05235469341278089
0.04584078242885569,0.046141785692489945,0.586895691750097,0.041651725769043094
0.05113477686967605,0.04222599894932588,0.5940884728091396,0.035420954227447635
0.05704015653680517,0.04012636573246797,0.5904881973326113,0.03263902664184582
0.06362752820913695,0.039039713453567826,0.5755397583908385,0.03147679567337048
0.07097565279983495,0.03842358024052461,0.54468310878706,0.03111630678176892
0.07917238704927916,0.037612003397262894,0.4884952257808967,0.030910611152649047
0.08831573397089548,0.03514699370793184,0.3971518025686726,0.029462754726410034
0.09851501460936432,0.029149931978500687,0.28006535134072763,0.024866104125976684
0.10989217512115819,0.02010480792454561,0.18423163439472745,0.01731693744659436
0.12258324480531901,0.011514288496292435,0.10794493636876368,0.009970933198928954
0.13673996251720033,0.00586200983456453,0.06108019822213606,0.005128681659698608
0.1525315909111425,0.0029315027706988683,0.03673839439167281,0.0026347339153291014
0.1701469402038014,0.0015805932991870275,0.024761383802434977,0.0014958158135415349
0.1897966256549492,0.0010885000228881836,0.018424422209342595,0.0010885000228881836
0.21171558575697566,0.0007459372282028198,0.014264121307874689,0.0007459372282028198
0.2361658912414415,0.00043527887395700127,0.010650048443299198,0.0003314502537250938
0.2634398784881462,0.000374840572476387,0.007071853648149329,0.0003749355673789978
0.293863644800842,0.00039798207581043243,0.003810977281993644,0.00039798207581043243
0.32780094734032844,0.00032429699786007404,0.0014448015370298606,0.00032429699786007404
0.3656575523319345,0.00021284772083163261,0.00029774566056417484,0.00021284772083163261
0.40788608654802383,0.00011641035234788433,7.560034312421666e-05,0.00011641035234788433
0.4549914490715472,4.148030711803585e-05,6.431861177702558e-05,4.148030711803585e-05
0.5075368480455694,1.6666745068505406e-06,3.8482378222681746e-05,1.6666745068505406e-06
0.5661505345862554,1.5145335055422038e-05,1.5951197363861525e-05,1.5145335055422038e-05
0.6315333143723273,1.4924505649105413e-05,2.174206008476176e-05,1.4924505649105413e-05
0.7044669267221761,1.1506395821925253e-05,2.979390408341942e-05,1.1506395821925253e-05
0.7858233913417985,7.729148819635157e-06,1.5901397127038308e-05,7.729148819635157e-06
0.876575434496528,5.031469299865421e-06,5.008601874578762e-06,5.031469299865421e-06
0.9778081192655202,3.2266434573102742e-06,4.988621860491094e-06,3.2266434573102742e-06
1.0907318189343589,2.002214841922978e-06,4.484187861919509e-06,2.002214841922978e-06
1.2166966886401946,1.2575144410220673e-06,3.0317513592947876e-06,1.2575144410220673e-06
1.3572088082974532,8.753444262765697e-07,6.88043279456485e-06,8.753444262765697e-07
1.5139481898145608,7.909559656127385e-07,1.1956128419879364e-05,7.909559656127385e-07
1.6887888639022521,7.707469649176346e-07,1.1829284301767551e-05,7.707469649176346e-07
1.8838212866383433,7.21607477771613e-07,1.0315334066035575e-05,7.21607477771613e-07
2.101377333689685,6.145373845356517e-07,9.830979479374946e-06,6.145373845356517e-07
2.3440581810309022,6.208366869486781e-07,8.554255600756733e-06,6.208366869486781e-07
2.614765405511557,4.821776258268073e-07,8.967071916762825e-06,4.821776258268073e-07
2.9167356771209265,2.9240086973914003e-07,6.544379544171086e-06,2.9240086973914003e-07
3.2535794577432378,2.0930458077828007e-07,5.410691301221959e-06,2.0930458077828007e-07
3.62932416909916,1.742562929507585e-07,1.3081283213978168e-05,1.742562929507585e-07
4.048462346004517,1.2369002178047594e-07,2.879911949094094e-05,1.2369002178047594e-07
4.5160053506834075,1.3881935245763088e-07,5.922243860823073e-05,1.3881935245763088e-07
5.037543290362718,1.945988756801853e-07,0.00010039616859103262,1.945988756801853e-07
5.619311854543787,1.631091421927522e-07,0.00016838884840808532,1.6333677876900765e-07
6.268266871080867,2.0082827312251084e-07,0.00029705607406071977,2.0101291298146862e-07
6.992167472484909,2.935244296509154e-07,0.0004497488604897626,3.0047828403212407e-07
7.799668866817983,2.719129315337937e-07,0.0006411641631416387,2.646838410785671e-07
8.700425822379502,4.695607816202624e-07,0.0010562530599328157,3.668114558918622e-07
9.705208103483265,8.359582113499214e-07,0.0020637632247462734,5.740255453306867e-07
10.826029237515721,1.4299149742342393e-06,0.003949736703049211,8.486612586128098e-07
12.076290152859299,2.308329555965327e-06,0.007944536547086045,1.032042202820366e-06
13.470939405065934,3.433552574726162e-06,0.015162382976541267,1.5671579127857052e-06
15.02665190700077,6.144536720265048e-06,0.028904099044211765,3.111847879821994e-06
16.762028299916114,1.2077529633669482e-05,0.04660119313587077,5.271017999852745e-06
18.697817349205355,2.1263717184361042e-05,0.06604216990308488,4.857676767500152e-06
20.85716402387856,4.0661476110037675e-05,0.08805639090870447,6.489076428417562e-06
23.26588622588413,7.924900591554929e-05,0.1373307056537174,1.084176105980994e-05
25.95278347794886,0.0001500179991446582,0.2202565882887923,1.8359244320476087e-05
28.949981260715965,0.0002738693214042742,0.3338059720906125,2.5837683538809664e-05
32.29331511619592,0.0004769550863026606,0.5363565663229961,3.212398729973698e-05
36.02275911000493,0.0007891527491003247,0.8751881676010318,4.280396022943167e-05
40.182903775235005,0.0012355421266752598,1.403198942957498,5.919980561885918e-05
44.82348925241932,0.0018098251374020768,2.120258850929741,8.022287090819757e-05
49.99999999999999,0.002428739255516954,2.9481154736396964,0.00010577536425027123
